127.0.0.1 - - [30/Nov/2018:20:29:05 -0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:32:46 -0200] "GET /sandubas/javax.faces.resource/images/ui-icons_2e83ff_256x240.png.xhtml?ln=primefaces-cupertino HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:32:47 -0200] "GET /sandubas/pages/mantermercadoria/administrar.xhtml HTTP/1.1" 200 22475
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:32:56 -0200] "GET /sandubas/login.jsp HTTP/1.1" 200 8771
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:32:56 -0200] "GET /sandubas/resources/css/estilo.css HTTP/1.1" 200 14938
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:32:56 -0200] "GET /sandubas/resources/css/modal.css HTTP/1.1" 200 2804
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:32:56 -0200] "GET /sandubas/resources/css/estiloGoogle.css HTTP/1.1" 200 1950
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:32:56 -0200] "GET /sandubas/resources/js/jquery.js HTTP/1.1" 200 84319
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:32:56 -0200] "GET /sandubas/resources/images/addManifestacao.png HTTP/1.1" 200 3000
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:32:56 -0200] "GET /sandubas/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:32:56 -0200] "GET /sandubas/resources/css/sistema.css HTTP/1.1" 200 12264
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:32:56 -0200] "GET /sandubas/resources/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:32:56 -0200] "GET /sandubas/resources/images/setaHome.png HTTP/1.1" 200 626
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:32:56 -0200] "GET /sandubas/resources/images/icon-search.png HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:32:56 -0200] "GET /sandubas/resources/images/setaHome.png HTTP/1.1" 200 626
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:32:56 -0200] "GET /sandubas/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:32:56 -0200] "GET /ouvidoria/aviso HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:32:57 -0200] "GET /sandubas/resources/images/favicon.ico HTTP/1.1" 200 15086
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:32:58 -0200] "POST /sandubas/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:32:58 -0200] "GET /sandubas/pages/principal.xhtml HTTP/1.1" 200 13003
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:32:58 -0200] "GET /sandubas/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 12284
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:32:58 -0200] "GET /sandubas/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 31279
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:32:58 -0200] "GET /sandubas/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 86931
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:32:58 -0200] "GET /sandubas/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 31333
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:32:58 -0200] "GET /sandubas/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 409040
